"GENE_NAME","CHROMOSOME","UNIPROT_ACC","GO_MOLECULAR_FUNCTION","REACTOME_ID","KEGG_ID","INTERPRO_ID","PFAM_ID","INTACT_ID","BIOGRID_ID","CONSENSUSPATH_ID","GDI","P_HI","P_REC","ESSENTIAL_GENE","GENATLAS_TISSUE","lastmodified"
"FIGLA","2","Q6QHK4","protein dimerization activity ; RNA polymerase II core promoter proximal region sequence-specific DNA binding ; transcriptional activator activity, RNA polymerase II core promoter proximal region sequence-specific binding ; transcription factor binding",,NULL,"IPR011598;","PF00010;",NULL,NULL,NULL,"11.44","0.17","0.1","N",NULL,"2017-06-22 00:00:00"
"FLRT3","20","Q9NZU0","chemorepellent activity ; fibroblast growth factor receptor binding ; protein binding, bridging ; protein homodimerization activity ; protein kinase inhibitor activity ; signal transducer activity, downstream of receptor","R-HSA-5654687;",NULL,"IPR000483;IPR003961;IPR013783;IPR032675;IPR001611;IPR003591;IPR000372;","PF13855;","PHB2;",NULL,"PHB2;FGFR1","2304.67","0.44","0.12","E","superior cervical ganglion;","2017-06-22 00:00:00"
"FOXC1","6","Q12948","DNA binding ; DNA binding, bending ; promoter-specific chromatin binding ; RNA polymerase II regulatory region sequence-specific DNA binding ; RNA polymerase II transcription factor activity, sequence-specific DNA binding ; sequence-specific DNA binding ; transcriptional activator activity, RNA polymerase II transcription regulatory region sequence-specific binding ; transcription coactivator activity ; transcription coactivator binding ; transcription factor activity, RNA polymerase II distal enhancer sequence-specific binding ; transcription factor activity, sequence-specific DNA binding ; transcription factor binding ; transcription regulatory region DNA binding",,NULL,"IPR001766;IPR018122;IPR030456;IPR011991;","PF00250;","oct-1B;HOXD13;NFIX;VARS;MEIS1;FOXS1;FOS;C5orf24;GATA3;GATAD2B;RARA;FOXD4;PITX2;DDX39A;PPP2R1A;SATB1;SATB2;RARG;FOXJ2;CREB1;LDB1;FOXA1;TP53;ESR1;MECP2;TFCP2;UBP1;AIM2;FLNA;NDUFA11;RECQL;PYHIN1;C1QBP;HOXC13;JUN;SALL1;DLX5;SMARCA5;FOXC2;FOXC1;HOXB9;PBX1;TFAP2C;NFIC;SMARCA1;PBX2;PPP2R2A;","PPP2R1A;HIST1H2BG;PPP2CB;PRMT6;METTL6;SOX2;ELAVL1;FBXW11;PPP2R2A;CCDC8;","PITX2;C1QBP;FLNA;UCHL1;PHF14;ADAR;LAS1L;NKX2-4;ZBTB33;VRK3;TMPO;MAZ;LEMD2;ZBTB39;DNAJC9;RBBP7;PSMC1;TRIM27;UPF1;BANF1;IKZF5;COPA;MDC1;DDX50;SAMD1;STRBP;DDX39A;CTCF;TFAP4;RNH1;XRCC5;NUP153;EEF1B2;RCN2;MOV10;CACYBP;HIST2H2AA3;ZNF444;HIRA;HDAC2;CAMK2D;PES1;NBN;SUGP2;NCOA5;AIM2;MTA1;GATAD2B;TFAP2C;THEM6;C5orf24;EMD;TFCP2;SATB2;RCC2;RBM12B;CSNK2A2;NR2C2;MECP2;HDAC1;TCF20;H1FX;MRE11A;POT1;HMBOX1;NR2F2;SDCBP;BCL11B;SKIV2L2;XRCC6;ZBTB44;SLTM;MBD1;FSCN1;HAT1;MSH6;ZNF711;ZNF384;CHMP4B;XRCC1;BCL11A;EIF3A;MTA2;TFE3;ZNF148;RING1;TFAP2A;BEND3;HOXA13;RAD50;ZNF740;GTF2I;CHD4;RREB1;JUN;ADNP;PARP2;SMARCA5;ZNF646;SAFB;ZSCAN25;LIG3;SAFB2;ALDH3A2;ATRX;XRCC5;COPA;HIST1H4A;CTCF;CCAR2;NCOA5;DAXX;MGA;SRRM2;SATB1;NBN;YWHAH;MAP1B;MKI67;CBX5;HUWE1;BAZ2A;SDC2;C1QBP;HIRA;UBN2;SAFB2;LAS1L;UCHL1;SMARCA5;ZNF646;SAFB;PHF14;PARP2;DNAJC7;LIG3;YWHAG;NUMA1;SENP3;MCM4;ATP6V1B2;VPRBP;HIST1H1E;BAZ1B;U2AF1;RFX1;RBBP7;PYHIN1;DNAJC9;RAI1;GTPBP4;TFAP2A;HOXA13;RAD50;UBN1;BAZ1A;DDB1;GPC4;PHIP;ZNF148;ZMYM2;COL18A1;TMPO;CABIN1;AGRN;RREB1;HIST1H1C;PPM1G;SUPT5H;ATIC;NSUN2;TBP;CHD4;ZMYM4;RSF1;HMBOX1;RSL1D1;H2AFY2;TCF20;H1FX;LAMC1;NR2F2;TTF2;SDC1;LAMB1;C5orf24;TEX10;SATB2;NR2C2;MECP2;PARP1;PELP1;USP7;ZNF428;MBD1;ZNF384;HTATSF1;ZNF711;MCM2;XRCC6;HSPG2;PGK1;RNH1;SMARCA1;RCN2;C10orf2;SUPT16H;MDC1;TFAM;PBX1;HMGB1;SOX2;CCDC8;METTL6;PRMT6;PPP2CB","1711.71","0.71","0.3","E",NULL,"2017-06-22 00:00:00"
"FOXI1","5","Q12951","DNA binding, bending ; RNA polymerase II core promoter proximal region sequence-specific DNA binding ; sequence-specific DNA binding ; transcriptional activator activity, RNA polymerase II core promoter proximal region sequence-specific binding ; transcription factor activity, sequence-specific DNA binding ; transcription regulatory region DNA binding",,NULL,"IPR001766;IPR033065;IPR018122;IPR030456;IPR011991;","PF00250;","DDX39A;FOXI2;PDS5A;TRIM33;FASN;TOMM40;HEATR1;TRIM24;VARS;SMPD4;FOXI1;","APP;COPS6;","COPS6;APP","38.96","0.21","0.2","E","dorsal root ganglion;superior cervical ganglion;trigeminal ganglion;skeletal muscle;","2017-06-22 00:00:00"
"FOXL2","3","P58012","cysteine-type endopeptidase regulator activity involved in apoptotic process ; DNA binding ; estrogen receptor binding ; RNA polymerase II core promoter proximal region sequence-specific DNA binding ; RNA polymerase II transcription factor activity, sequence-specific DNA binding ; transcriptional activator activity, RNA polymerase II core promoter proximal region sequence-specific binding ; transcription factor activity, sequence-specific DNA binding ; ubiquitin conjugating enzyme binding","R-HSA-3232118;",NULL,"IPR001766;IPR033063;IPR018122;IPR030456;IPR011991;","PF00250;","BTAF1;FIP1L1;TRMT2A;HK2;VARS;CCDC59;LARP1;IARS;MOV10;FUBP3;GADD45GIP1;POMGNT2;P4HA1;DNAJC9;DHX16;ACSL4;RTCA;NSUN4;NSDHL;NKRF;DDX39A;SRPK2;YARS;FOXL2;MRPL3;UBE4A;PDS5A;ANP32C;TTF1;DARS2;RBMX;ZFR;SMC2;TTF2;MRPL24;CMSS1;MRPL21;HNRNPUL2;MRPS18A;LARP7;NUP205;THRAP3;SIX1;POP1;PES1;SMPD4;PUF60;DDX52;DCUN1D5;","ELAVL1;SMAD3;UBE2I;LATS1;","PAK1;SMAD3;UBE2I;LATS1;SUMO1;SIRT1;NR5A1;PIAS1","1425.71","0.16","0.42","E","superior cervical ganglion;ciliary ganglion;atrioventricular node;skeletal muscle;","2017-06-22 00:00:00"
"FZD4","11","Q9ULV1","cytokine binding ; G-protein coupled receptor activity ; PDZ domain binding ; protein heterodimerization activity ; protein homodimerization activity ; ubiquitin protein ligase binding ; Wnt-activated receptor activity ; Wnt-protein binding","R-HSA-373080;R-HSA-4086398;R-HSA-4608870;R-HSA-4641263;R-HSA-5099900;R-HSA-5340588;R-HSA-8856825;R-HSA-8856828;","hsa04310;hsa04916;hsa05210;hsa05217","IPR000539;IPR015526;IPR020067;IPR026551;IPR017981;","PF01534;PF01392;","TSPAN12;CRELD2;NDP;SLC9A3R1;FZD4;","BAG6;NDP;DLG4;ZNRF3;","WNT3A;DVL2;ARRB2;WNT2B;TSKU;NDP;CRELD2;NDP;TSPAN12;LRP5;TSPAN12;NDP;TSPAN12;SLC9A3R1;LRP5;NDP;DLG4;DLG1;DLG2;MAGI3;BAG6;ZNRF3","215.98","0.35","0.21","N",NULL,"2017-06-22 00:00:00"
"GALT","9","P07902","UDP-glucose:hexose-1-phosphate uridylyltransferase activity ; zinc ion binding","R-HSA-70370;","hsa00052;hsa00520","IPR001937;IPR019779;IPR005850;IPR005849;IPR011146;","PF02744;PF01087;","TNK2;TRIP13;","NRBF2;ARPC3;TNK2;TMED9;UBTD2;HLA-DQA1;TRIP13;","TNK2;TRIP13;TMED9;HLA-DQA1;NRBF2;ARPC3;UBTD2","526.58","0.1","0.1","N",NULL,"2017-06-22 00:00:00"
"GCK","7","P35557","ATP binding ; glucokinase activity ; glucose binding","R-HSA-170822;R-HSA-210745;R-HSA-5619107;R-HSA-70153;R-HSA-70171;","hsa00010;hsa00052;hsa00500;hsa00521;hsa04910;hsa04930;hsa04950","IPR001312;IPR019807;IPR022673;IPR022672;","PF00349;PF03727;","GCKR;PFKFB1;","GCKR;GMIP;PFKFB2;SMEK2;PCNA;UGP2;AGL;","GCKR;PFKFB1;INS;PFKFB2;PCNA;MAP3K11;MAP3K1;BAD","9.29","0.81","0.74","E","superior cervical ganglion;prefrontal cortex;skeletal muscle;parietal lobe;cingulate cortex;","2017-06-22 00:00:00"
"GDAP1","8","Q8TB36",,,NULL,"IPR034336;IPR010987;IPR004045;IPR012336;","PF13417;",NULL,"SUZ12;FIS1;SHMT2;TUBB;PSAP;NTRK1;FAF2;NXF1;HBB;","SUZ12;EGR1;FIS1;TUBB;FAF2;HBB;PSAP","24.9","0.17","0.16",NULL,"amygdala;subthalamic nucleus;occipital lobe;cerebellum peduncles;ciliary ganglion;trigeminal ganglion;","2017-06-22 00:00:00"
"GDF9","5","O60383","cytokine activity ; growth factor activity ; transforming growth factor beta receptor binding",,NULL,"IPR029034;IPR015617;IPR001839;IPR015615;IPR017948;","PF00019;","SAT1;ORAI2;KIF22;MOB4;CRELD1;S100A8;ADPGK;NDUFB9;PCDHA4;TRIB3;FXYD6;TK1;ANXA7;KDM1A;DLEU1;CDKN2C;BTBD2;TDGF1;PRKRA;PAFAH1B3;LSM3;MYCBP;PCYT2;RAB27A;STRN4;ILF3;PMF1;SMN1;SERPINB9;CDKN1A;PSMD11;RSRC1;CCDC53;GADD45G;FOXG1;MPHOSPH6;SMPD3;DNM2;SNRPG;","ORAI2;SAT1;KIF22;MOB4;CRELD1;S100A8;NDUFB9;PCDHA4;BMPR2;TRIB3;FXYD6;APLP1;TK1;ANXA7;KDM1A;DLEU1;CDKN2C;BTBD2;PRKRA;TDGF1;PAFAH1B3;LSM3;MYCBP;PCYT2;RAB27A;STRN4;ILF3;PMF1;SMN1;SERPINB9;CDKN1A;PSMD11;RSRC1;GADD45G;FOXG1;CCDC53;MPHOSPH6;DNM2;SNRPG;","STRN4;CDKN2C;BTBD2;PCDHA4;ORAI2;CDKN1A;SMPD3;SERPINB9;ADPGK;MOB4;ANXA7;GADD45G;ILF3;SMN1;RSRC1;TDGF1;SAT1;CRELD1;FOXG1;CCDC53;PRKRA;DNM2;FXYD6;NDUFB9;PCYT2;SNRPG;DLEU1;TK1;TRIB3;S100A8;KIF22;LSM3;MYCBP;MPHOSPH6;RAB27A;PSMD11;PAFAH1B3;PMF1;KDM1A;APLP1;ACVR2A;BMPR1B;PABPC4;BMPR1A;BMPR2;BMP15","93.12","0.13",NULL,"N","dorsal root ganglion;testis - interstitial;superior cervical ganglion;testis - seminiferous tubule;globus pallidus;testis;ciliary ganglion;atrioventricular node;trigeminal ganglion;skeletal muscle;parietal lobe;","2017-06-22 00:00:00"
"GDNF","5","P39905","growth factor activity ; protein homodimerization activity ; Ras guanyl-nucleotide exchange factor activity ; receptor binding","R-HSA-419037;R-HSA-5673001;R-HSA-8853659;","hsa04010","IPR029034;IPR016649;IPR001839;","PF00019;","NDUFS6;AGTRAP;","RANBP9;MKLN1;MAEA;ARMC8;RMND5A;COPS5;YPEL5;S100A10;GFRA1;GFRA2;GID4;RANBP10;AGTRAP;","GFRA1;AGTRAP;NDUFS6;NCAM1;RET;GFRA2;COPS5;MAEA;MKLN1;RMND5A;RANBP9;RANBP10;ARMC8;S100A10;GID4;YPEL5;CSNK2A1;CSNK2A2;CREB1;FOS;JUN;PRKACA","25.41","0.71","0.71","E",NULL,"2017-06-22 00:00:00"
"GGCX","2","P38435","gamma-glutamyl carboxylase activity","R-HSA-159740;","hsa00100","IPR011020;IPR014710;IPR011051;IPR007782;","PF05090;","FGD1;AP1S2;TERF2IP;FAM46A;","FGD1;SRPK2;AP1S2;DCP2;FBXO6;TERF2IP;FAM46A;","PROC;F7;F2;F10;F9;BGLAP;FBXO6;DCP2","1092.96","0.14","0.14","E","dorsal root ganglion;superior cervical ganglion;fetal liver;liver;appendix;ciliary ganglion;atrioventricular node;pons;trigeminal ganglion;skeletal muscle;","2017-06-22 00:00:00"
"GJB2","13","P29033","gap junction channel activity","R-HSA-190704;R-HSA-190827;R-HSA-190861;R-HSA-190872;","hsa01430","IPR000500;IPR002268;IPR019570;IPR017990;IPR013092;","PF00029;","CLSPN;INADL;SLC38A2;ACKR3;SNX3;RAB11FIP2;PACSIN3;TFRC;SLC35E1;PSMD2;ANTXR1;PIEZO1;CD14;MUC13;","CLSPN;CAV1;INADL;SLC38A2;CNST;CREB3;FBXO2;ACKR3;SKP1;SNX3;RAB11FIP2;PACSIN3;TFRC;SLC35E1;PSMD2;ANTXR1;PIEZO1;MUC13;CD14;","GJB1;CD14;CAV1;GJB6;CNST;FBXO2;SKP1","794.09","0.43","0.51","E",NULL,"2017-06-22 00:00:00"
"GJB3","1","O75712","gap junction channel activity","R-HSA-190861;","hsa01430","IPR000500;IPR002269;IPR019570;IPR017990;IPR013092;","PF00029;","ELAVL1;","CNST;ELAVL1;","ELAVL1;TJP1;MAX;TFDP1;EHMT2;E2F6;YAF2;RING1;PCGF6;EHMT1;RNF2;L3MBTL2;MGA;CNST","303.93","0.13","0.16","E",NULL,"2017-06-22 00:00:00"
"GNRHR","4","P30968","gonadotropin-releasing hormone receptor activity ; peptide binding","R-HSA-375281;R-HSA-416476;","hsa04080;hsa04912","IPR000276;IPR017452;IPR001658;IPR027982;","PF00001;",NULL,"MYC;","GNRH1;RGS10","24.69","0.44","0.24","N","dorsal root ganglion;uterus corpus;superior cervical ganglion;appendix;ciliary ganglion;pons;atrioventricular node;trigeminal ganglion;pituitary;skeletal muscle;","2017-06-22 00:00:00"
"GPR98","5","Q8WXG9","calcium ion binding ; G-protein coupled receptor activity",,NULL,"IPR003644;IPR013320;IPR009039;IPR005492;IPR017981;IPR000832;IPR026919;IPR000203;","PF00002;PF03160;PF03736;","PTBP3;","CD96;SIAE;NXPH2;TAZ;GGH;CALR3;GPHA2;DNASE2B;",NULL,"32752.2","0.08","0.17","N",NULL,"2017-06-22 00:00:00"
"HAMP","19","P81172","hormone activity ; iron channel inhibitor activity ; receptor binding",,NULL,"IPR010500;","PF06446;","CKAP4;","CKAP4;VKORC1;","SLC40A1;VKORC1;CKAP4;LCN2","6.02","0.31","0.54","N","fetal liver;liver;atrioventricular node;trigeminal ganglion;","2017-06-22 00:00:00"
"HFE","6","Q30201","antigen binding ; beta-2-microglobulin binding ; co-receptor binding ; receptor binding ; transferrin receptor binding","R-HSA-917977;",NULL,"IPR031092;IPR007110;IPR013783;IPR003006;IPR003597;IPR011161;IPR011162;IPR001039;","PF07654;PF00129;","TF;TFRC;HSPA5;B2M;","SYVN1;TFRC;B2M;","TFR2;TF;TFRC;B2M;TFRC;B2M;HSPA5;B2M;FTH1;TFRC;UBC;SYVN1","796.87","0.11","0.73","N","dorsal root ganglion;superior cervical ganglion;thyroid;appendix;ciliary ganglion;pons;atrioventricular node;trigeminal ganglion;skin;skeletal muscle;","2017-06-22 00:00:00"
"HMBS","11","P08397","hydroxymethylbilane synthase activity","R-HSA-189451;","hsa00860","IPR000860;IPR022419;IPR022417;IPR022418;","PF01379;PF03900;","ZDHHC17;","GABRE;UMPS;TP53I3;NPEPL1;ZDHHC17;RANBP9;APP;PDIA3;YTHDF2;SAR1A;HNRNPA1;EWSR1;","ZDHHC17;RANBP9;APP;GABRE","24.12","0.38","0.69","E","dorsal root ganglion;fetal liver;superior cervical ganglion;trigeminal ganglion;skeletal muscle;bone marrow;","2017-06-22 00:00:00"
"HNF1A","12","P20823","DNA binding ; protein dimerization activity ; protein heterodimerization activity ; protein homodimerization activity ; RNA polymerase II regulatory region sequence-specific DNA binding ; transcriptional activator activity, RNA polymerase II core promoter proximal region sequence-specific binding ; transcription factor activity, sequence-specific DNA binding ; transcription regulatory region DNA binding","R-HSA-210745;","hsa04950","IPR006899;IPR023219;IPR006898;IPR006897;IPR009057;IPR001356;IPR010982;","PF04814;PF04813;PF04812;PF00046;","SNRPA1;PCBD2;PCBD1;RHPN2;TCEAL5;PROX1;TBCA;SMPDL3A;DYRK1B;RYR3;BCL6;RNF14;FABP5;CALM1;","HMGB1;YWHAZ;HNF1B;LDHA;HNF1A;CDX2;SNX14;RHPN2;IGFBP7;VIM;CBX3;FOS;HIST2H2AB;AES;MYOG;RANBP1;BCL6;RNF14;ACTB;SNRPA1;KAT2B;PCBD2;PCBD1;RPSAP15;CREBBP;YWHAB;YWHAE;SIRT1;STAT3;ANXA2;NCOA1;YWHAG;EP300;NCOA3;VCP;SRSF7;RYR3;PEBP1;CALM3;","PEBP1;ANXA2;VIM;IGFBP7;SERPINA1;LDHA;SNX14;YWHAZ;YWHAB;YWHAE;VCP;HMGA1;HIST2H2AB;CBX3;SRSF7;RANBP1;HMGB1;AFP;HMGB1;SEBOX;YWHAG;DYRK1B;FABP5;AGT;PCBD1;RHPN2;PROX1;RYR3;PCBD2;CTNNB1;RNF14;TCEAL5;DYRK1B;PCBD2;RNF14;CALM1;SNRPA1;SMPDL3A;BCR;ALB;CEBPA;POU2F1;FOS;SRC;CREBBP;TLE1;HNF4A;CDX2;RAC3;EP300;GATA5;HNF1B;KAT2B;CTNNB1;STAT3;AES;SIRT1;BCL6;ACTB;RUNX3;SNAP91;TBCA","5494.65","0.87",NULL,"E","superior cervical ganglion;liver;ciliary ganglion;atrioventricular node;trigeminal ganglion;skeletal muscle;","2017-06-22 00:00:00"
"HNF4A","20","P41235","DNA binding ; fatty acid binding ; protein homodimerization activity ; receptor binding ; RNA polymerase II activating transcription factor binding ; RNA polymerase II core promoter sequence-specific DNA binding ; RNA polymerase II transcription factor activity, ligand-activated sequence-specific DNA binding ; steroid hormone receptor activity ; transcriptional activator activity, RNA polymerase II core promoter proximal region sequence-specific binding ; transcription factor activity, RNA polymerase II distal enhancer sequence-specific binding ; transcription factor activity, sequence-specific DNA binding ; transcription regulatory region DNA binding ; zinc ion binding","R-HSA-210745;R-HSA-383280;","hsa04950","IPR003068;IPR000536;IPR001723;IPR001628;IPR013088;","PF00104;PF00105;","STK16;SNCG;ANP32B;PABPC4;NR3C1;NR0B2;PPARGC1A;PROX1;RAD50;FOXO6;SREBF2;CITED2;CTNNB1;SFPQ;CYP7A1;MAPK8;EXT2;","SNCG;XPO1;COPS5;MED24;FOXO1;TBP;MED23;MED21;CTNNB1;PRMT1;TGS1;AR;ANP32B;TADA2A;PCBD1;TP53;MED14;UBE2I;NR0B2;GTF2B;PPARGC1A;PROX1;PPARGC1B;RAD50;MED10;GTF2H1;NRIP1;MED7;MAPK1;NCOA1;NCOA2;PIAS4;HNF4A;MED16;MED17;NCOA6;MAPK3;MDM2;EXT2;NPPA;MED1;ZNHIT3;STK16;PABPC4;NR2C2;VDR;TAF9;SREBF1;TAF6;SUB1;CREBBP;SMAD4;SMAD3;SIRT1;GPS2;SREBF2;HDAC4;NR1I3;HDAC3;RNF4;SP1;PNRC2;PNRC1;NCOR2;","SMAD3;SMAD4;PCK1;SERPINA1;SEBOX;PPARGC1A;NR3C1;RAD50;FOXO6;GUCY2C;SULT2A1;CYP2C9;NR0B2;C3;CTNNB1;PROX1;CITED2;EPHX1;CYP2A6;EXT2;SLC28A1;SFPQ;MAPK8;CYP2C8;STK16;PABPC4;SNCG;ANP32B;SREBF2;UGT1A9;CYP2C9;APOC3;NR3C1;CYP2A6;APOC3;UGT1A9;APOC3;CYP8B1;CYP26A1;CREBBP;NCOA1;MED14;MECR;NRBF2;PPARGC1B;AXIN1;CTNNB1;CDH1;GLIS2;APC;NRIP1;SIRT1;FOXO1;SP1;PNRC2;MAPK14;PRKAA2;COPS5;ESR1;HNF1A;TP53;PNRC1;UBE2I;NPPA;NCOA6;ZNHIT3;NCOA2;TRIM24;MED1;NR2C2;SMAD2;SUB1;SIRT1;PPARGC1A;NR2F1;AR;MED23;MED24;MED17;MED16;MED7;MED21;MED10;PRMT1;PCBD1;TGS1;NR1I3;NCOR2;HDAC3;HDAC4;XPO1;SREBF1;VDR;MAPK3;MAPK1;GPS2;MDM2;TBP;TAF9;TAF6;GTF2B;GTF2H1;TADA2A;RNF4;PIAS4;RB1;EP300;NOTCH2;RXRA;CCNDBP1;CBX4;ACP5;PRKACA;IFNGR2;PPARA;NR2F2;IFRD1;NR0B1;MYC;NCOA3;SRC","238.98","0.94","0.94","E","superior cervical ganglion;liver;appendix;ciliary ganglion;atrioventricular node;trigeminal ganglion;fetal thyroid;cingulate cortex;skeletal muscle;parietal lobe;","2017-06-22 00:00:00"
"IL10RA","11","Q13651","interleukin-10 binding ; interleukin-10 receptor activity ; receptor activity ; signal transducer activity","R-HSA-6783783;","hsa04060;hsa04630","IPR003961;IPR013783;","PF01108;","IL10;","IL10RB;BTRC;JAK1;IL10;","TYK2;JAK1;IL10;IL10RB;BTRC","573.85","0.19","0.41","N","superior cervical ganglion;white blood cells;atrioventricular node;whole blood;","2017-06-22 00:00:00"
"IL17RD","3","Q8NFM7","interleukin-17 receptor activity","R-HSA-5674135;",NULL,"IPR031951;IPR013568;IPR000157;","PF16742;PF08357;",NULL,NULL,"EGFR;IL17RA;IL17RB;TRAF6;MAP3K7;FGFR1","2297.79","0.67","0.12","N","dorsal root ganglion;superior cervical ganglion;","2017-06-22 00:00:00"
"ITGA7","12","Q13683","metal ion binding","R-HSA-216083;R-HSA-3000157;R-HSA-3000178;","hsa04510;hsa04512;hsa04810","IPR013517;IPR013519;IPR000413;IPR013649;IPR018184;IPR032695;","PF01839;PF08441;","FHL2;","BTNL8;ATP1B3;TAZ;ATP1B4;FHL3;FHL2;LGALS8;ITGB1;ART3;TNFSF13B;PTCH1;SUSD4;B3GNT2;CHRNA1;MYOC;","ITGB1;FHL2;ITGB1;NMRK2;FHL3;CHRNA1;CD151;ITGB1;MYOC;ITGB1;CD9;TAZ;ATP1B3;SUSD4;LGALS8;TNFSF13B;ATP1B4;BTNL8;ART3;B3GNT2;PTCH1","592.64","0.27","0.37","E","amygdala;olfactory bulb;adipose tissue;tongue;spinal cord;ciliary ganglion;atrioventricular node;caudate nucleus;skeletal muscle;","2017-06-22 00:00:00"
